 ,List500,List1000,List5000,List10000
BubbleSort,0,0,0,0
SelectionSort,1996,3996,19996,39996
InsertionSort,499,999,4999,9999
InsertionCutSort,0,0,0,0
 ,List500,List1000,List5000,List10000
BubbleSort,374250,1498500,37492500,149985000
SelectionSort,1996,3996,19996,39996
InsertionSort,125249,500499,12502499,50004999
InsertionCutSort,0,0,0,0
 ,List500,List1000,List5000,List10000
BubbleSort,192696,776877,18718206,75776091
SelectionSort,1996,3996,19996,39996
InsertionSort,64731,259958,6244401,25268696
InsertionCutSort,0,0,0,0
 ,List500,List1000,List5000,List10000
BubbleSort,2009,4009,20009,40009
SelectionSort,377749,1505499,37527499,150054999
InsertionSort,3000,6000,30000,60000
InsertionCutSort,2500,5000,25000,50000
 ,List500,List1000,List5000,List10000
BubbleSort,1001007,4002007,100010007,400020007
SelectionSort,377749,1505499,37527499,150054999
InsertionSort,502000,2004000,50020000,200040000
InsertionCutSort,379245,1508495,37542495,150084995
 ,List500,List1000,List5000,List10000
BubbleSort,757137,3038787,74934399,301067835
SelectionSort,377749,1505499,37527499,150054999
InsertionSort,259928,1041836,24987608,101094788
InsertionCutSort,197676,786832,18768141,75876036
 ,List500,List1000,List5000,List10000
BubbleSort_Time,0.00027393,0.00062511,0.00327039,0.00515694
SelectionSort_Time,0.04207083,0.04686738,0.46965271,2.20977588
InsertionSort_Time,0.00060064,0.00094281,0.00443281,0.00894889
InsertionCutSort_Time,0.0008866,0.00075051,0.00321284,0.00676726
 ,List500,List1000,List5000,List10000
BubbleSort_Time,0.07420805,0.03191543,0.81511596,2.9680344
SelectionSort_Time,0.02671799,0.0334657,0.80678597,3.06855288
InsertionSort_Time,0.04997801,0.02689242,0.53837923,2.28967145
InsertionCutSort_Time,0.03639635,0.02365571,0.60611675,2.15398869
 ,List500,List1000,List5000,List10000
BubbleSort_Time,0.02997812,0.05182922,1.50988337,5.85213148
SelectionSort_Time,0.00771691,0.03205731,0.84036107,3.5136771
InsertionSort_Time,0.01510101,0.01466252,0.36755937,1.77294153
InsertionCutSort_Time,0.01341225,0.02673351,0.57353866,2.7110717